Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
518,Ministry of Steel,Steel,"New Product Testing Laboratory for NPM, SPP & NHSM at RSP",Steel Authority of India Limited (SAIL,635651,Odisha,06/2025,07/2025,08/2027,-,155.26,0.00,57.69,73.86,82
519,Ministry of Steel,Steel,Stamp Charge Battery No.7 Battery Proper at RSP,Steel Authority of India Limited (SAIL,738679,Odisha,09/2024,10/2024,03/2028,-,2584.41,0.00,1251.00,59.41,82
520,Ministry of Steel,Steel,Stamp Charge Battery No.7 By-product Plant at RSP,Steel Authority of India Limited (SAIL,834015,Odisha,09/2024,10/2024,03/2028,-,1140.07,0.00,219.86,23.27,82
521,Ministry of Steel,Steel,Stamp Charge Battery No.12 By-product Plant at IISCO Steel Plant,Steel Authority of India Limited (SAIL,364934,West Bengal,01/2025,02/2025,07/2028,-,999.46,0.00,100.91,18.87,82
522,Ministry of Steel,Steel,Stamp Charge Battery No.12 Coke Dry Cooling Plant at IISCO Steel Plant,Steel Authority of India Limited (SAIL,425828,West Bengal,01/2025,02/2025,07/2028,-,706.51,0.00,143.16,13.70,82
523,Ministry of Steel,Steel,Rebuilding of COB 4 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],612781,West Bengal,09/2023,09/2023,09/2027,09/2027,916.78,0.00,248.36,38.83,82
524,Ministry of Steel,Steel,Installation of New Bar Mill at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],617242,West Bengal,07/2024,08/2024,06/2027,-,2115.44,0.00,994.10,69.61,82
525,Ministry of Steel,Steel,Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],617246,West Bengal,09/2024,10/2024,10/2027,10/2027,758.09,0.00,330.78,64.17,82
526,Ministry of Steel,Steel,Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant,Steel Authority of India Limited [SAIL],617248,West Bengal,11/2024,12/2024,07/2026,11/2026,227.96,0.00,119.14,73.31,82
527,Ministry of Steel,Steel,Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],617251,West Bengal,07/2024,12/2024,05/2026,12/2026,196.40,0.00,73.24,57.33,82
528,Ministry of Steel,Steel,Stamp Charge Battery No.12 Battery Proper at IISCO Steel Plant,Steel Authority of India Limited [SAIL],617338,West Bengal,01/2025,02/2025,07/2028,-,2518.39,0.00,485.99,30.51,82
529,Ministry of Railways,Railways,Nadikude-Srikalahasti 308.7 km,CAO/C/SCoR SCoR mor,400298,Andhra Pradesh,03/2012,10/2019,05/2027,03/2028,2312.00,0.00,2535.68,2.00,82
530,Ministry of Railways,Railways,Doubling between Gooty-Pendakallu 29.225 km PB73/2023-24/NR,CAO/C/SCoR SCoR mor,611752,Andhra Pradesh,03/2023,06/2024,03/2027,03/2027,351.83,0.00,157.67,45.00,83
531,Ministry of Railways,Railways,South Central Railway - Rail road over double line between Guntakal West-Mallapa Gate 9.64 km PB34/CR/2023-24,CAO/C/SCoR SCoR mor,611754,Andhra Pradesh,07/2023,11/2024,07/2026,-,293.30,0.00,94.62,33.00,83
532,Ministry of Railways,Railways,Flyover between Pendurthi-Simhachalam North to avoid surface crossing at Simhachalam 7.135 km PB73/2023-24/NR,CAO/C/SCoR SCoR mor,612827,Andhra Pradesh,04/2023,04/2024,04/2027,-,183.65,0.00,28.73,22.00,83
533,Ministry of Railways,Railways,3rd & 4 th line Vadlapudi-Gate Jn. incl. tie line between Gangavaram Port- Visakhapatnam Steel Plant12.04 km PB73/2023-24/NR,CAO/C/SCoR SCoR mor,616697,Andhra Pradesh,04/2023,02/2024,06/2026,-,154.28,0.00,89.66,88.00,83
534,Ministry of Railways,Railways,South Central Railway- 3rd line between Gudur-Renigunta stations 83.17 km PB34/CR/2023-24,CAO/C/SCoR SCoR mor,617216,Andhra Pradesh,10/2024,03/2026,03/2027,-,877.34,0.00,53.46,0.00,83
535,Ministry of Railways,Railways,Lumding-Furkating section 140 km Umbrella work PB57/2019-20/NR,CAO/C-1/NFR NFR mor,616701,Assam,02/2024,09/2020,02/2028,-,2123.70,0.00,215.47,15.00,83
536,Ministry of Railways,Railways,New Bongaigaon - Goalpara - Guwahati Kamakhya 176 km,CAO/C-III/NFR NFR mor,705572,Assam,09/2016,08/2019,03/2026,03/2026,4060.00,0.00,3860.64,91.00,83
537,Ministry of Railways,Railways,Sakri-Hasanpur 79 km,CAO/Con/North/MHX ECR mor,400254,Bihar,12/2023,01/2020,12/2024,03/2027,735.20,0.00,615.76,80.00,83
538,Ministry of Railways,Railways,East Central Railway - Construction of Bulb line at Nabinagar Ankorah 17.49Km PB45/ECoR/2024-25.,CAO/Con/South/MHX ECR mor,617231,Bihar,06/2024,09/2025,06/2028,-,611.74,0.00,0.00,0.00,83
539,Ministry of Railways,Railways,Narkatiaganj-Raxaul-Sitamarhi-Darbhanga & Sitamarhi-Muzaffarpur Sections doubling 256 km Umbrella work PB57/2019-20/NR,CAO/Con/North/MHX ECR mor,617239,Bihar,11/2024,11/2025,11/2029,03/2030,4079.95,0.00,29.38,0.00,83
540,Ministry of Railways,Railways,Hajipur-Sagauli via Vaishali 148.3 km,CAO/Con/North/MHX ECR mor,705366,Bihar,10/2007,12/2019,03/2020,06/2027,2067.00,0.00,2889.67,74.00,83
541,Ministry of Railways,Railways,Araria-Supaul 92 km,CAO/Con/North/MHX ECR mor,705368,Bihar,08/2009,12/2019,03/2024,01/2027,1605.00,0.00,2179.84,40.00,83
542,Ministry of Railways,Railways,Fatuah-Islampur incl. material modification for extension of new line from Neora to Daniawan Daniawan to Biharsharif Biharsharif to Barbigha Barbigha to Sheikhpura,CAO/Con/South/MHX ECR mor,705373,Bihar,08/2002,04/2020,03/2023,08/2025,1473.00,0.00,3044.61,95.00,83
543,Ministry of Railways,Railways,Samastipur-Darbhanga 38 km,CAO/Con/North/MHX ECR mor,705526,Bihar,11/2015,08/2019,03/2025,10/2025,519.00,0.00,751.29,92.00,83
544,Ministry of Railways,Railways,Sagauli - Valmikinagar 109.7 km,CAO/Con/North/MHX ECR mor,705527,Bihar,03/2018,12/2019,12/2025,12/2025,1216.00,0.00,1464.50,91.00,83
545,Ministry of Railways,Railways,Muzaffarpur - Sagauli 100.6 km,CAO/Con/North/MHX ECR mor,705528,Bihar,03/2018,12/2019,06/2024,06/2026,1586.00,0.00,1564.08,99.00,83
546,Ministry of Railways,Railways,Barauni-Bachwara 16 km - 3rd & 4th line incl Barauni yard remodelling 32 km Umbrella work PB57/2019-20/NR,CAO/Con/North/MHX ECR mor,706860,Bihar,10/2022,06/2023,08/2025,10/2026,645.00,0.00,237.70,38.00,83
547,Ministry of Railways,Railways,Jhajha - Batia 20 km Umbrella work PB23/2018-19/NR,CAO/Con/South/MHX ECR mor,900874,Bihar,02/2019,01/2020,03/2028,01/2030,588.18,0.00,29.78,0.00,83
548,Ministry of Railways,Railways,Kirandul-Jagdalpur 150 km,CAO/C/ECOR ECoR mor,400291,Chhattisgarh,02/2013,11/2019,03/2020,04/2027,1589.00,0.00,1369.01,89.00,83
549,Ministry of Railways,Railways,Nipania-Bhatapra 14.4 km 4th line PB72/NR/2022-23,CAOC/SECR SECR mor,612815,Chhattisgarh,12/2022,05/2024,03/2027,-,170.49,0.00,13.63,3.00,83
550,Ministry of Railways,Railways,Boridand-Ambikapur 118.81 km Umbrella work PB57/2019-20/NR,CAOC/SECR SECR mor,706854,Chhattisgarh,06/2022,03/2023,06/2030,06/2030,1376.00,0.00,512.14,38.00,83
551,Ministry of Railways,Railways,4th line - Rajnandgaon-Dongarhgarh 31.2 km PB72/NR/2022-23,CAOC/SECR SECR mor,709818,Chhattisgarh,09/2022,03/2024,01/2027,01/2027,328.34,0.00,101.52,5.00,84
552,Ministry of Railways,Railways,3rd & 4th line - Saragbundia & Madwarani 12.2 km PB72/NR/2022-23,CAOC/SECR SECR mor,709819,Chhattisgarh,09/2022,05/2025,12/2026,12/2026,167.64,0.00,28.49,10.00,84
553,Ministry of Railways,Railways,Anand Vihar-Tilak Bridge - 3rd & 4th line 9.77 km,CAOC/NR NR mor,705583,Delhi,06/2012,01/2020,03/2023,12/2027,667.00,0.00,400.84,23.00,84
554,Ministry of Railways,Railways,Chandorgaon-Cansaulim rail flyover 16 km Umbrella work PB57/2019-20/NR,CAOC/SWR SWR mor,706865,Goa,NA,01/2022,03/2031,-,1892.00,0.00,0.00,0.00,84
555,Ministry of Railways,Railways,Kosamba- Umarpada 69.70 Km PB32/WR/2023-24,CAOCWR WR mor,611918,Gujarat,07/2023,01/2024,03/2027,-,468.00,0.00,161.50,31.00,84
556,Ministry of Railways,Railways,New BG line between Naliya - Jakhau Port 24.88 Km,CAOCWR WR mor,611943,Gujarat,02/2023,08/2024,01/2028,02/2028,410.26,0.00,11.90,5.00,84
557,Ministry of Railways,Railways,Petlad-Bhadran 22.5 km,CAOCWR WR mor,611945,Gujarat,05/2022,04/2023,05/2030,05/2030,307.11,0.00,115.19,32.00,84
558,Ministry of Railways,Railways,Samlaya-Timba Road 53.53 km,CAOCWR WR mor,611970,Gujarat,02/2023,05/2023,03/2030,03/2030,670.17,0.00,202.51,25.00,84
559,Ministry of Railways,Railways,Samni-Jambusar 24.08 km,CAOCWR WR mor,611971,Gujarat,05/2022,08/2022,03/2030,03/2030,350.00,0.00,189.28,40.00,84
560,Ministry of Railways,Railways,Western Railway- Samakhiali-Gandhidham Quadrupiling 53 km PB34/CR/2023-24,CAOCWR WR mor,611974,Gujarat,08/2023,04/2024,12/2026,12/2027,1430.00,0.00,796.21,50.00,84
561,Ministry of Railways,Railways,Barejadi Nandej Geratpur - Sanand - 4th line 38.20 km,CAOCWR WR mor,612072,Gujarat,02/2023,02/2024,03/2027,07/2028,961.67,0.00,569.92,25.00,84
562,Ministry of Railways,Railways,Miyagam-Karjan-Dabhoi-Samlaya 96.46 km- Gauge conversion with electrification,CAOCWR WR mor,705458,Gujarat,01/2017,08/2019,12/2026,12/2026,483.88,0.00,886.85,34.00,84
563,Ministry of Railways,Railways,Rajkot-Kanalus 111.20 km,CAOCWR WR mor,706763,Gujarat,10/2021,12/2019,10/2026,06/2026,1080.58,0.00,1148.79,90.00,84
564,Ministry of Railways,Railways,Nadiad-Petlad 37.26 km,CAOCWR WR mor,709812,Gujarat,05/2022,10/2023,06/2030,06/2030,461.91,0.00,150.35,30.00,84
565,Ministry of Railways,Railways,New BG line intersection 5 nos between Geratpur-Sanand & Botad-Ahmedabad 16.51 km PB29/NR/2022-23,CAOCWR WR mor,709813,Gujarat,10/2022,10/2023,10/2027,10/2027,437.21,0.00,602.87,22.00,84
566,Ministry of Railways,Railways,Doubling between Bhiwani - Dobh Bahali PB73/2023-24/NR,CAOC/NWR NWR mor,611884,Haryana,02/2023,11/2023,06/2027,02/2028,471.00,0.00,350.86,78.00,84
567,Ministry of Railways,Railways,Pradhankhunta Jn-Patherdih Bazar-Bhojudih 17.1 km Umbrella work PB57/2019- 20/NR,CAO/Con/South/MHX ECR mor,617372,Jharkhand,11/2022,12/2023,11/2027,03/2026,349.22,0.00,166.86,60.00,84
568,Ministry of Railways,Railways,Koderma-Barkakana Arigada 133 Km,CAO/Con/South/MHX ECR mor,617832,Jharkhand,06/2025,06/2026,12/2029,-,2887.11,0.00,0.85,0.00,84
569,Ministry of Railways,Railways,Gomoh - Flyover for down trains 20 km,CAO/Con/South/MHX ECR mor,705765,Jharkhand,01/2018,06/2020,03/2026,03/2026,686.00,0.00,543.45,65.00,84
570,Ministry of Railways,Railways,Lodhma-Piska - Link line bypassing Hatia / Ranchi with Y connection 17.2 km,CAO/C/SER SER mor,705785,Jharkhand,08/2021,09/2021,06/2026,05/2027,473.00,0.00,345.49,14.00,84
571,Ministry of Railways,Railways,Gadag - Wadi 257.26 km,CAOC/SWR SWR mor,705490,Karnataka,04/2013,09/2019,03/2027,12/2027,2842.00,0.00,2324.01,35.00,84
572,Ministry of Railways,Railways,Kadur-Chickmagalur-Sakleshpur 93 km,CAOC/SWR SWR mor,705492,Karnataka,01/2014,02/2023,06/2025,12/2025,825.00,0.00,801.77,83.00,84
573,Ministry of Railways,Railways,Hubli-Ankola 167 km,CAOC/SWR SWR mor,705493,Karnataka,01/1999,05/2022,03/2005,03/2030,5174.00,0.00,186.31,10.00,85
574,Ministry of Railways,Railways,Bagalkot-Kudachi 142 km,CAOC/SWR SWR mor,705495,Karnataka,02/2010,01/2021,03/2027,01/2027,1378.00,0.00,808.19,35.00,85
575,Ministry of Railways,Railways,Bangalore-Whitefield-Bangalore City-Krishnarajapuram 23.08 km - Quadrupling,CPM/GS/SBC SWR mor,705663,Karnataka,03/2018,02/2020,02/2026,02/2026,493.00,0.00,459.94,70.00,85
576,Ministry of Railways,Railways,Shimoga-Shikaripura-Ranebennur 103 km umbrella work PB23/2018-19/NR,CAOC/SWR SWR mor,705761,Karnataka,09/2019,02/2023,12/2027,06/2028,1454.00,0.00,107.72,14.00,85
577,Ministry of Railways,Railways,Kumbalam-Turavur - Patch doubling 15.59 km,CAO/CN/ERS SR mor,705638,Kerala,04/2023,02/2024,03/2027,03/2027,813.00,0.00,404.17,30.00,85
578,Ministry of Railways,Railways,Ernakulam-Kumbalam - Patch doubling 7.71 km,CAO/CN/ERS SR mor,705639,Kerala,04/2023,02/2024,03/2028,02/2027,601.00,0.00,313.99,25.00,85
579,Ministry of Railways,Railways,Gwalior-Sheorpurkalan with extension to Kota 284 km,CAO/C/NCR NCR mor,705419,Madhya Pradesh,02/2010,09/2020,03/2025,02/2026,2913.00,0.00,3112.88,91.00,85
580,Ministry of Railways,Railways,Satna - Rewa 50 km,CE/C-4/WCR WCR mor,705659,Madhya Pradesh,11/2015,09/2019,03/2026,03/2026,500.00,0.00,620.14,88.00,85
581,Ministry of Railways,Railways,Katni - Grade separator / bypass 21.50 km,GM IRCON KATNI WCR mor,705661,Madhya Pradesh,08/2016,11/2019,09/2024,09/2026,1248.00,0.00,1839.46,84.00,85
582,Ministry of Railways,Railways,Nimach-Ratlam 133 km,CAOCWR WR mor,705933,Madhya Pradesh,10/2021,01/2022,10/2027,10/2027,1095.88,0.00,1496.21,100.00,85
583,Ministry of Railways,Railways,Aurangabad-Ankai 98.25 km,CAOCON/SCR SCR mor,611751,Maharashtra,05/2023,04/2025,12/2025,-,960.64,0.00,401.33,0.00,85
584,Ministry of Railways,Railways,Pachora-Jamner with extension upto Malkapur-Narrow gauge to broad gauge 84 km,CAOC/CR CR mor,612845,Maharashtra,08/2022,01/2020,08/2027,-,955.39,0.00,308.07,10.00,85
585,Ministry of Railways,Railways,Doubling between Parbhani-Parli Vaijnath stations 64.71 km PB34/CR/2023-24,CAOCON/SCR SCR mor,617215,Maharashtra,12/2023,11/2024,03/2028,-,769.93,0.00,178.50,1.00,85
586,Ministry of Railways,Railways,Central Railway - Double chord line between Nilaje and Kopar 4.495 km PB34/CR/2023-24,CAOC/CR CR mor,617364,Maharashtra,07/2023,01/2025,07/2028,-,338.33,0.00,58.47,15.00,85
587,Ministry of Railways,Railways,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km],CAOC/CR CR mor,705356,Maharashtra,02/1997,08/2022,12/2026,03/2026,2538.67,0.00,5084.82,93.00,85
588,Ministry of Railways,Railways,Baramati - Lonand 54 km,CAOC/CR CR mor,705357,Maharashtra,02/1999,04/2023,03/2027,03/2027,138.48,0.00,1160.74,60.00,85
589,Ministry of Railways,Railways,Wadsa-Gadchiroli 49.5 km,CAOC/SECR SECR mor,705479,Maharashtra,05/2017,08/2023,03/2027,03/2027,1886.00,0.00,1015.46,69.00,85
590,Ministry of Railways,Railways,Kalyan-Kasara - 3rd line 67.62 km,CAOC/CR CR mor,705498,Maharashtra,09/2015,04/2023,12/2026,12/2026,792.89,0.00,1165.98,73.00,85
591,Ministry of Railways,Railways,Wardha Sevagram-Nagpur - 3rd line 76.3 km,CAOC/CR CR mor,705500,Maharashtra,09/2015,07/2020,12/2025,10/2026,540.02,0.00,841.24,93.00,85
592,Ministry of Railways,Railways,Wardha-Balharshah - 3rd line 132 km,CAOC/CR CR mor,705502,Maharashtra,03/2016,09/2019,12/2025,02/2026,1384.72,0.00,1911.26,86.00,85
593,Ministry of Railways,Railways,Daund - Manmad 247.50 km,CAOC/CR CR mor,705504,Maharashtra,10/2017,09/2022,12/2025,03/2026,2081.27,0.00,3270.66,95.00,85
594,Ministry of Railways,Railways,Wardha-Nagpur - 4th line 78.70 km,CAOC/CR CR mor,705505,Maharashtra,04/2017,08/2021,12/2025,10/2026,637.95,0.00,1094.89,93.00,85
595,Ministry of Railways,Railways,Solapur-Osmanabad - New line via Tuljapur 84.44 km umbrella work PB23/2018- 19/NR,CAOC/CR CR mor,705735,Maharashtra,01/2019,01/2024,03/2027,03/2028,904.92,0.00,1232.63,38.00,86
596,Ministry of Railways,Railways,Jiribam-Imphal 110 km,CAO/C-III/NFR NFR mor,705391,Manipur,10/2003,08/2019,12/2026,06/2029,14323.00,0.00,16931.50,78.00,86
597,Ministry of Railways,Railways,Marikuppam-Kuppam 23.7 km,CAOC/SWR SWR mor,705491,"Multi-States (Andhra Pradesh, Karnataka)",10/2011,09/2019,06/2026,06/2026,297.00,0.00,145.88,20.00,86
598,Ministry of Railways,Railways,Kottavalasa-Koraput 189.278 km,CAO/C/ECOR ECoR mor,705512,"Multi-States (Andhra Pradesh, Odisha)",12/2015,11/2019,03/2022,03/2028,2500.00,0.00,2358.96,74.00,86
599,Ministry of Railways,Railways,Tirupati-Pakala-Katpadi Doubling 104.39 Km Item83/NR/2024-25,CAO/C/SCoR SCoR mor,617210,"Multi-States (Andhra Pradesh, Tamil Nadu)",04/2025,12/2025,04/2029,-,1215.56,0.00,0.00,0.00,86
600,Ministry of Railways,Railways,"Renigunta 9.60 km, Wadi 7.60 km & Gooty 3.8 km - Bypass",CAO/C/SCoR SCoR mor,705610,"Multi-States (Andhra Pradesh, Tamil Nadu)",04/2016,02/2021,12/2025,03/2026,302.00,0.00,421.36,50.00,86
601,Ministry of Railways,Railways,Doubling between Motumari Vishnupuram 88.81 km and Rail over Rail RoR at Motumari 10.877 Km,CAO/C/SCoR SCoR mor,616857,"Multi-States (Andhra Pradesh, Telangana)",02/2024,03/2025,03/2029,-,1595.55,0.00,327.62,22.00,86
602,Ministry of Railways,Railways,"South Central Railway- Rail connectivity to Amaravati, Capital of Andhra Pradesh Errupalem- Amaravati- Namburu New line 57 km PB7/WR/2023-24",CAO/C/SCoR SCoR mor,617214,"Multi-States (Andhra Pradesh, Telangana)",11/2024,01/2026,03/2027,-,2047.40,0.00,155.00,0.00,86
603,Ministry of Railways,Railways,Vijayawada19.50 km & Kazipet10.65 km -Byepass line,CAO/C/SCoR SCoR mor,705632,"Multi-States (Andhra Pradesh, Telangana)",04/2016,07/2020,01/2025,12/2025,647.00,0.00,711.08,90.00,86
604,Ministry of Railways,Railways,Murkongselek-Pasighat 26.15 km,CAO/C-II/NFR NFR mor,705401,"Multi-States (Arunachal Pradesh, Assam)",02/2011,10/2019,03/2025,12/2026,435.00,0.00,1057.21,67.00,86
605,Ministry of Railways,Railways,Dimapur-Kohima 88 km,CAO/C-1/NFR NFR mor,705392,"Multi-States (Assam, Nagaland)",11/2006,09/2019,03/2025,12/2029,6663.00,0.00,6891.03,48.00,86
606,Ministry of Railways,Railways,Koderma-Tilaiya 68 km,CAO/Con/South/MHX ECR mor,705375,"Multi-States (Bihar, Jharkhand)",11/2004,08/2019,02/2025,02/2026,1626.00,0.00,2272.44,90.00,86
607,Ministry of Railways,Railways,Pirpainti - Jasidih 97 km,CAOC/ER ER mor,705385,"Multi-States (Bihar, Jharkhand)",03/2014,08/2019,03/2028,03/2028,2555.00,0.00,1779.91,40.00,86
608,Ministry of Railways,Railways,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm PB34/ECOR/2023-24,CAO/Con/South/MHX ECR mor,616699,"Multi-States (Bihar, Jharkhand, Uttar Pradesh, West Bengal)",08/2023,03/2024,03/2028,-,12333.57,0.00,1350.85,3.00,86
609,Ministry of Railways,Railways,Gorakhpur-Valmikinagar Doubling project,CONSTRUCTION / NE-RAILWAY,617224,"Multi-States (Bihar, Uttar Pradesh)",08/2023,03/2024,12/2027,-,1120.00,0.00,442.70,46.00,86
610,Ministry of Railways,Railways,Construction of surface traingle between Bhadaura and new crossing station Karma Dildarnagar-Taraghat line 11.1 km PB72/NR/2022-23,CAO/Con/South/MHX ECR mor,617333,"Multi-States (Bihar, Uttar Pradesh)",10/2022,05/2024,02/2027,-,199.96,0.00,64.59,0.00,86
611,Ministry of Railways,Railways,Chhapra-Ballia - Patch doubling 65 km,CONSTRUCTION / NE-RAILWAY,705562,"Multi-States (Bihar, Uttar Pradesh)",03/2013,01/2020,02/2025,05/2026,963.00,0.00,1008.54,95.00,86
612,Ministry of Railways,Railways,Katihar-Kumedpur & Katihar-Mukuria 64.5 km Umbrella work PB57/2019-20/NR,CAO/C-II/NFR NFR mor,617245,"Multi-States (Bihar, West Bengal)",08/2022,07/2020,08/2027,02/2027,942.64,0.00,952.95,65.00,86
613,Ministry of Railways,Railways,Rajnandgaon-Nagpur - 3rd line 228 km,CAOC/SECR SECR mor,705617,"Multi-States (Chhattisgarh, Maharashtra)",09/2016,12/2019,12/2024,06/2026,3545.00,0.00,3147.30,95.00,86
614,Ministry of Railways,Railways,4th line - Bhatapara-Hathband 8.8 km PB72/NR/2022-23,CAOC/SECR SECR mor,709815,"Multi-States (Chhattisgarh, Maharashtra)",09/2022,09/2024,01/2027,12/2027,177.03,0.00,21.08,3.00,86
615,Ministry of Railways,Railways,4th line - Bhilai-Bhilai nagar 8.8 km PB72/NR/2022-23,CAOC/SECR SECR mor,709816,"Multi-States (Chhattisgarh, Maharashtra)",09/2022,09/2024,02/2027,02/2027,177.34,0.00,39.39,3.00,86
616,Ministry of Railways,Railways,4th line - Dadhapara-Belha 9.2 km PB72/NR/2022-23,CAOC/SECR SECR mor,709817,"Multi-States (Chhattisgarh, Maharashtra)",09/2022,02/2024,11/2026,11/2026,169.06,0.00,65.72,10.00,86
